

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	12:50:51 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.3

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL267	K17	0.747	23
SPL268	L17	0.757	23
SPL269	M17	0.650	8
SPL270	N17	0.739	24
SPL271	O17	0.719	23
SPL272	P17	0.795	18
SPL273	A18	0.437	107
SPL274	B18	0.745	33
SPL275	C18	0.703	33
SPL276	D18	0.745	32
SPL277	E18	0.802	42
SPL278	F18	0.810	40
SPL279	G18	0.706	30
SPL280	H18	0.730	28
SPL281	I18	0.754	87
SPL282	J18	0.749	79
SPL283	K18	0.785	28
SPL284	L18	0.781	19
SPL285	M18	0.740	26
SPL286	N18	0.731	21
SPL287	O18	0.776	18
SPL288	P18	0.740	24
SPL289	A19	0.707	44
SPL290	B19	0.681	44
SPL291	C19	0.730	30
SPL292	D19	0.766	33
SPL293	E19	0.815	46
SPL294	F19	0.803	41
SPL295	G19	0.701	32
SPL296	H19	0.715	30
SPL297	I19	0.768	88
SPL298	J19	0.749	103
SPL299	K19	0.774	26
SPL300	L19	0.777	26
SPL301	M19	0.760	21
SPL302	N19	0.743	25
SPL303	O19	0.755	20
SPL304	P19	0.749	21
SPL305	A20	0.731	51
SPL306	B20	0.738	36
SPL307	C20	0.714	25
SPL308	D20	0.761	25
SPL309	E20	0.798	45
SPL310	F20	0.823	41
SPL311	G20	0.715	25
SPL312	H20	0.693	27
SPL313	I20	0.772	101
SPL314	J20	0.740	92
SPL315	K20	0.806	25
SPL316	L20	0.764	27
SPL317	M20	0.775	24
SPL318	N20	0.709	23
SPL319	O20	0.800	22
SPL320	P20	0.787	20
SPL321	A21	0.748	47
SPL322	B21	0.166	12
SPL323	C21	0.701	34
SPL324	D21	0.728	33
SPL325	E21	0.812	40
SPL326	F21	0.780	43
SPL327	G21	0.733	26
SPL328	H21	0.717	28
SPL329	I21	0.748	90
SPL330	J21	0.751	84
SPL331	K21	0.755	23
SPL332	L21	0.786	27
SPL333	M21	0.724	27
SPL334	N21	0.751	25
SPL335	O21	0.757	17
SPL336	P21	0.761	21
SPL337	A22	0.168	11
SPL338	B22	0.122	7
SPL339	C22	0.713	24
SPL340	D22	0.725	25
SPL341	E22	0.788	37
SPL342	F22	0.773	37
SPL343	G22	0.708	22
SPL344	H22	0.722	25
SPL345	I22	0.709	74
SPL346	J22	0.713	62
SPL347	K22	0.745	26
SPL348	L22	0.705	28
SPL349	M22	0.709	22
SPL350	N22	0.708	24
SPL351	O22	0.754	20
SPL352	P22	0.732	22
SPL353	A23	0.720	43
SPL354	B23	0.715	39
SPL355	C23	0.725	24
SPL356	D23	0.744	26
SPL357	E23	0.808	43
SPL358	F23	0.792	41
SPL359	G23	0.747	22
SPL360	H23	0.757	23
SPL361	I23	0.717	87
SPL362	J23	0.739	87
SPL363	K23	0.759	24
SPL364	L23	0.765	20
SPL365	M23	0.654	25
SPL366	N23	0.694	27
SPL367	O23	0.729	25
SPL368	P23	0.747	17
SPL369	A24	0.637	55
SPL370	B24	0.703	43
SPL371	C24	0.742	28
SPL372	D24	0.714	26
SPL373	E24	0.796	40
SPL374	F24	0.791	41
SPL375	G24	0.741	27
SPL376	H24	0.736	25
SPL377	I24	0.734	77
SPL378	J24	0.693	80
SPL379	K24	0.737	24
SPL380	L24	0.738	25
SPL381	M24	0.685	27
SPL382	N24	0.724	24
SPL383	O24	0.737	19
SPL384	P24	0.714	20

