

Software Version	2.00.18



Plate Number	Plate 1
Date	7/24/2014
Time	4:34:41 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	26.7

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL92	L6	0.778	143
SPL93	M6	0.553	854
SPL94	N6	0.228	32
SPL95	O6	0.488	249
SPL96	P6	0.234	34
SPL97	A7	0.522	265
SPL98	B7	0.549	243
SPL99	C7	0.495	263
SPL100	D7	0.541	213
SPL101	E7	0.575	460
SPL102	F7	0.590	287
SPL103	G7	0.624	568
SPL104	H7	0.886	366
SPL105	I7	0.418	64
SPL106	J7	0.473	158
SPL107	K7	0.810	495
SPL108	L7	0.762	250
SPL109	M7	0.719	1112
SPL110	N7	0.602	228
SPL111	O7	0.418	190
SPL112	P7	0.519	184
SPL113	A8	0.565	247
SPL114	B8	0.560	314
SPL115	C8	0.548	281
SPL116	D8	0.528	374
SPL117	E8	0.625	288
SPL118	F8	0.618	543
SPL119	G8	0.754	286
SPL120	H8	0.767	655
SPL121	I8	0.573	223
SPL122	J8	0.430	219
SPL123	K8	0.676	304
SPL124	L8	0.814	585
SPL125	M8	0.537	195
SPL126	N8	0.430	310
SPL127	O8	0.540	225
SPL128	P8	0.439	201
SPL129	A9	0.500	292
SPL130	B9	0.515	246
SPL131	C9	0.482	282
SPL132	D9	0.501	171
SPL133	E9	0.542	257
SPL134	F9	0.620	265
SPL135	G9	0.493	190
SPL136	H9	0.638	236
SPL137	I9	0.484	221
SPL138	J9	0.500	209
SPL139	K9	0.588	326
SPL140	L9	0.706	392
SPL141	M9	0.408	65
SPL142	N9	0.435	268
SPL143	O9	0.504	161
SPL144	P9	0.557	391
SPL145	A10	0.499	262
SPL146	B10	0.505	247
SPL147	C10	0.538	254
SPL148	D10	0.493	278
SPL149	E10	0.668	351
SPL150	F10	0.525	360
SPL151	G10	0.532	268
SPL152	H10	0.513	264
SPL153	I10	0.507	197
SPL154	J10	0.467	192
SPL155	K10	0.755	332
SPL156	L10	0.598	254
SPL157	M10	0.460	281
SPL158	N10	0.509	207
SPL159	O10	0.508	251
SPL160	P10	0.496	180
SPL161	A11	0.527	835
SPL162	B11	0.511	3178
SPL163	C11	0.448	190
SPL164	D11	0.577	3858
SPL165	E11	0.540	218
SPL166	F11	0.578	2707
SPL167	G11	0.567	286
SPL168	H11	0.573	2949
SPL169	I11	0.466	351
SPL170	J11	0.485	2749
SPL171	K11	0.702	386
SPL172	L11	0.774	2002
SPL173	M11	0.476	406
SPL174	N11	0.821	3529
SPL175	O11	0.492	151
SPL176	P11	0.480	2973
SPL177	A12	0.565	3475
SPL178	B12	0.529	287
SPL179	C12	0.546	3930
SPL180	D12	0.457	338
SPL181	E12	0.672	3418
SPL182	F12	0.564	369
SPL183	G12	0.520	2947
SPL184	H12	0.714	401
SPL185	I12	0.569	3780
SPL186	J12	0.462	199
SPL187	K12	0.681	2204
SPL188	L12	0.644	289
SPL189	M12	0.466	3754
SPL190	N12	0.666	1217
SPL191	O12	0.461	3691
SPL192	P12	0.498	227
SPL193	A13	0.429	480
SPL194	B13	0.489	563
SPL195	C13	0.391	722
SPL196	D13	0.460	644
SPL197	E13	0.492	295
SPL198	F13	0.648	948
SPL199	G13	0.510	508
SPL200	H13	0.524	709
SPL201	I13	0.450	435
SPL202	J13	0.482	434
SPL203	K13	0.587	506
SPL204	L13	0.694	863
SPL205	M13	0.497	428
SPL206	N13	0.511	523
SPL207	O13	0.458	329
SPL208	P13	0.482	389
SPL209	A14	0.493	709
SPL210	B14	0.456	649
SPL211	C14	0.449	638
SPL212	D14	0.415	532
SPL213	E14	0.559	705
SPL214	F14	0.529	852
SPL215	G14	0.544	495
SPL216	H14	0.475	741
SPL217	I14	0.487	638
SPL218	J14	0.572	824
SPL219	K14	0.692	848
SPL220	L14	0.609	638
SPL221	M14	0.514	454
SPL222	N14	0.553	722
SPL223	O14	0.504	701
SPL224	P14	0.478	404
SPL225	A15	0.540	369
SPL226	B15	0.499	306
SPL227	C15	0.473	559
SPL228	D15	0.478	475
SPL229	E15	0.523	499
SPL230	F15	0.681	857
SPL231	G15	0.473	394
SPL232	H15	0.757	741
SPL233	I15	0.510	158
SPL234	J15	0.552	311
SPL235	K15	0.593	671
SPL236	L15	0.769	413
SPL237	M15	0.456	396
SPL238	N15	0.607	217
SPL239	O15	0.444	453
SPL240	P15	0.380	109
SPL241	A16	0.742	573
SPL242	B16	0.494	573
SPL243	C16	0.520	372
SPL244	D16	0.524	543
SPL245	E16	0.808	1368
SPL246	F16	0.610	686
SPL247	G16	0.563	339
SPL248	H16	0.553	691
SPL249	I16	0.596	374
SPL250	J16	0.477	347
SPL251	K16	0.824	546
SPL252	L16	0.641	605
SPL253	M16	0.489	189
SPL254	N16	0.468	517
SPL255	O16	0.446	158
SPL256	P16	0.442	279
SPL257	A17	0.547	206
SPL258	B17	0.536	279
SPL259	C17	0.446	249
SPL260	D17	0.436	302
SPL261	E17	0.535	252
SPL262	F17	0.543	438
SPL263	G17	0.464	297
SPL264	H17	0.636	550
SPL265	I17	0.528	231
SPL266	J17	0.525	278
SPL267	K17	0.543	241
SPL268	L17	0.813	467
SPL269	M17	0.505	185
SPL270	N17	0.571	1158
SPL271	O17	0.470	172
SPL272	P17	0.446	152
SPL273	A18	0.513	286
SPL274	B18	0.519	220
SPL275	C18	0.503	322
SPL276	D18	0.485	233
SPL277	E18	0.563	456
SPL278	F18	0.531	224
SPL279	G18	0.549	423
SPL280	H18	0.586	224
SPL281	I18	0.537	257
SPL282	J18	0.550	177
SPL283	K18	0.791	554
SPL284	L18	0.601	265
SPL285	M18	0.482	403
SPL286	N18	0.532	215
SPL287	O18	0.403	141
SPL288	P18	0.484	164
SPL289	A19	0.482	319
SPL290	B19	0.232	83
SPL291	C19	0.455	176
SPL292	D19	0.230	57
SPL293	E19	0.548	327
SPL294	F19	0.338	154
SPL295	G19	0.491	343
SPL296	H19	0.266	102
SPL297	I19	0.516	388
SPL298	J19	0.253	54
SPL299	K19	0.593	333
SPL300	L19	0.485	165
SPL301	M19	0.469	270
SPL302	N19	0.223	70
SPL303	O19	0.524	218
SPL304	P19	0.349	92
SPL305	A20	0.362	141
SPL306	B20	0.371	327
SPL307	C20	0.222	53
SPL308	D20	0.488	311
SPL309	E20	0.518	68
SPL310	F20	0.468	36
SPL311	G20	0.279	97
SPL312	H20	0.485	321
SPL313	I20	0.263	76
SPL314	J20	0.502	283
SPL315	K20	0.610	255
SPL316	L20	0.654	392
SPL317	M20	0.209	88
SPL318	N20	0.496	275
SPL319	O20	0.445	198
SPL320	P20	0.555	197
SPL321	A21	0.498	1485
SPL322	B21	0.283	55
SPL323	C21	0.405	1141
SPL324	D21	0.198	87
SPL325	E21	0.673	1625
SPL326	F21	0.296	85
SPL327	G21	0.513	1678
SPL328	H21	0.450	295
SPL329	I21	0.492	1778
SPL330	J21	0.214	30
SPL331	K21	0.636	2141
SPL332	L21	0.833	102
SPL333	M21	0.422	1175
SPL334	N21	0.228	26
SPL335	O21	0.426	1068
SPL336	P21	0.195	26
SPL337	A22	0.266	27
SPL338	B22	0.485	1518
SPL339	C22	0.215	20
SPL340	D22	0.423	958
SPL341	E22	0.453	427
SPL342	F22	0.541	1666
SPL343	G22	0.278	49
SPL344	H22	0.502	1399
SPL345	I22	0.236	39
SPL346	J22	0.508	1389
SPL347	K22	0.703	69
SPL348	L22	0.550	1706
SPL349	M22	0.250	22
SPL350	N22	0.491	1300
SPL351	O22	0.237	20
SPL352	P22	0.472	1061
SPL353	A23	0.439	9
SPL354	B23	0.347	9
SPL355	C23	0.443	8
SPL356	D23	0.416	2
SPL357	E23	0.440	5
SPL358	F23	0.293	4
SPL359	G23	0.450	4
SPL360	H23	0.380	1
SPL361	I23	0.382	2
SPL362	J23	0.437	6
SPL363	K23	0.429	4
SPL364	L23	0.424	7
SPL365	M23	0.333	3
SPL366	N23	0.460	3
SPL367	O23	0.313	7
SPL368	P23	0.457	2
SPL369	A24	0.358	3
SPL370	B24	0.357	3
SPL371	C24	0.434	3
SPL372	D24	0.427	1
SPL373	E24	0.341	7
SPL374	F24	0.466	5
SPL375	G24	0.465	3
SPL376	H24	0.449	3
SPL377	I24	0.464	2
SPL378	J24	0.351	2
SPL379	K24	0.400	0
SPL380	L24	0.445	4
SPL381	M24	0.456	6
SPL382	N24	0.459	8
SPL383	O24	0.460	4
SPL384	P24	0.326	5

